STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l)
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,25.5,7.2,7.4,82,2
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,20,7.3,7.1,55,1.9
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,20.3,7.3,7.1,57,2
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,19.4,6.6,7.1,114,2.6
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21,7.3,5.6,56,1.8
3367,"NONBAH RIVER AT 0GSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,19.2,5.1,7,105,3.6
3368,"NONBAH RIVER AT 0GSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,18.3,7.3,7.1,51,1.6
3372,"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,19.6,7.7,7.2,50,1.6
1633,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,23.7,7.6,7.3,115,2.1
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18.2,6.2,7,81,2.4
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.8,7.2,7.1,66,1.9
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.9,7.4,7.1,57,1.5
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,25.1,7.5,7.4,144,1.7
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,18.8,7.1,7.1,63,1.9
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,20.2,7.3,7.2,65,1.9
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,20,7.3,7.3,65,2
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18.5,1.5,6.9,345,33.9
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,18.8,3.9,7.1,233,17
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,18.3,1,7.2,376,57.2
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,18.5,0.9,7.2,506,61.1
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,18.2,7.2,7,66,1.9
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,22.1,7.7,7.2,62,1.6
